Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Ethersworn Adjudicator,BRC,The Brothers' War Commander,83,normal,mythic,1,75639,9442f53b-0588-48f9-b7df-7e9d9ae6aa82,0.29,false,false,near_mint,en,USD
Island,BRC,The Brothers' War Commander,31,normal,common,2,75917,fc8c4d2d-416c-4b8b-b46d-0e11f0e8245d,0.08,false,false,near_mint,en,USD
Sharding Sphinx,BRC,The Brothers' War Commander,94,normal,rare,1,75666,9d1968e0-c77b-4b16-8270-3de90e084927,0.14,false,false,near_mint,en,USD
River of Tears,BRC,The Brothers' War Commander,197,normal,rare,1,75707,ae7cfcdf-d654-45c3-bf79-ccba120b5e68,0.2,false,false,near_mint,en,USD
Dimir Aqueduct,BRC,The Brothers' War Commander,182,normal,uncommon,1,75264,012b9371-45e0-4e06-ad7a-4c52d1d38262,0.15,false,false,near_mint,en,USD
Swamp,BRC,The Brothers' War Commander,33,normal,common,1,75452,5205f782-e6af-4152-a15f-080935017e4b,0.06,false,false,near_mint,en,USD
Evolving Wilds,BRC,The Brothers' War Commander,184,normal,common,1,75300,1334e6ac-1edb-4945-935c-0e0ccdde134d,0.15,false,false,near_mint,en,USD
Orzhov Basilica,BRC,The Brothers' War Commander,191,normal,uncommon,1,75531,6d31f89f-1758-4f6f-8de8-d270983866fd,0.15,false,false,near_mint,en,USD
Plains,BRC,The Brothers' War Commander,29,normal,common,2,75755,c23864ff-e83c-4899-99e0-4ca5167bd4e1,0.1,false,false,near_mint,en,USD
Goldmire Bridge,BRC,The Brothers' War Commander,186,normal,common,1,75405,3f529a4f-e2c6-48dc-9001-ed0009b58152,0.14,false,false,near_mint,en,USD
Sharuum the Hegemon,BRC,The Brothers' War Commander,128,normal,rare,1,75365,2d7373e7-385f-4887-b1c7-af6d422dd70a,0.1,false,false,near_mint,en,USD
Chromatic Star,BRR,The Brothers' War Retro Artifacts,11,normal,uncommon,1,75513,669f7205-af98-4e9b-a5d1-2901507c511d,0.21,false,false,near_mint,en,USD
Azorius Chancery,BRC,The Brothers' War Commander,175,normal,uncommon,1,75810,d70df0a7-8a09-4715-9a31-8016511c3feb,0.14,false,false,near_mint,en,USD
Island,BRC,The Brothers' War Commander,32,normal,common,2,75665,9d075fae-ecd8-44b2-ac24-087afb26a9fa,0.07,false,false,near_mint,en,USD
Hexavus,BRC,The Brothers' War Commander,14,normal,rare,1,75723,b599064e-1c44-4df0-ac7d-d2eb0ba44b16,0.1,false,false,near_mint,en,USD
Chief of the Foundry,BRC,The Brothers' War Commander,134,normal,uncommon,1,75591,82a00649-080b-4297-80f2-c1e8f18c2ade,0.13,false,false,near_mint,en,USD
Whirler Rogue,BRC,The Brothers' War Commander,101,normal,uncommon,1,75764,c4c846c7-b12a-4465-af5e-36adf2b6cdd0,0.07,false,false,near_mint,en,USD
Filigree Attendant,BRC,The Brothers' War Commander,85,normal,uncommon,1,75412,411590fe-221e-4f6a-aad5-e156a95ac63b,0.09,false,false,near_mint,en,USD
"Armix, Filigree Thrasher",BRC,The Brothers' War Commander,103,normal,uncommon,1,75920,fe688c90-2dcf-48b9-a8b5-bea3500bb0a5,0.1,false,false,near_mint,en,USD
Chrome Courier,BRC,The Brothers' War Commander,123,normal,common,1,75429,47a40b66-a700-4308-99f3-f3d40db30375,0.03,false,false,near_mint,en,USD
